İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
1350-8499,30-10-2024,Daire,4 + 1,180 m2 / 175 m2,15. Kat,5 Yaşında,Yerden Isıtma,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Doğu,,Doğalgaz,,,Evet,Ankara,Pursaklar,5.950.000 TL
150695-42,30-10-2024,Daire,3 + 1,135 m2 / 130 m2,Ara Kat,25 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Mülk Sahibi,Kat İrtifakı,100 TL,Hayır,Güney,18.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.549.999 TL
64413-4304,30-10-2024,Daire,2 + 1,110 m2 / 95 m2,En Üst Kat,Sıfır Bina,Merkezi (Pay Ölçer),3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,500 TL,Hayır,"Kuzey, Batı",60.000 TL,Doğalgaz,1,,Evet,Ankara,Çankaya,7.400.000 TL
130172-4567,30-10-2024,Daire,3 + 1,130 m2 / 120 m2,1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,Betonarme,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Batı",20.000 TL,Doğalgaz,,,,Ankara,Etimesgut,3.295.000 TL
122493-2555,30-10-2024,Daire,3 + 1,145 m2 / 130 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Tapu Yok,,Evet,"Kuzey, Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Keçiören,3.899.000 TL
151723-29,30-10-2024,Daire,4 + 1,180 m2 / 165 m2,6. Kat,4 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Batı",35.000 TL,Doğalgaz,22123,1,Evet,Ankara,Altındağ,6.300.000 TL
151077-121,30-10-2024,Daire,2 + 1,100 m2 / 90 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Sincan,1.849.000 TL
131496-557,30-10-2024,Daire,3 + 1,135 m2 / 130 m2,3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,,,,Ankara,Pursaklar,2.775.000 TL
144270-1472,30-10-2024,Daire,2 + 1,105 m2 / 100 m2,Yüksek Giriş,26 Yaşında,Kombi,1 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Sincan,1.699.000 TL
22114-7083,30-10-2024,Daire,4 + 1,160 m2 / 140 m2,2. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Hayır,"Kuzey, Doğu, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,5.250.000 TL
95979-1483,30-10-2024,Daire,3 + 1,110 m2 / 100 m2,1. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu",16.500 TL,,,,Evet,Ankara,Etimesgut,2.560.000 TL
692685-1722,30-10-2024,Daire,1 + 1,80 m2 / 70 m2,Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat İrtifakı,,Evet,"Kuzey, Batı",,,,,,Ankara,Çankaya,2.990.000 TL
16354-25981,28-10-2024,Daire,3 + 1,145 m2 / 131 m2,2. Kat,5 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1 TL,Evet,"Güney, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.390.000 TL
142021-19,30-10-2024,Daire,2 + 1,90 m2 / 80 m2,Kot 2,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Mamak,1.325.000 TL
41553-7546,30-10-2024,Daire,3 + 1,120 m2 / 115 m2,Giriş Katı,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,75 TL,Hayır,,,Doğalgaz,,,,Ankara,Çankaya,3.200.000 TL
127957-235,30-10-2024,Daire,3 + 1,110 m2 / 100 m2,Yüksek Giriş,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,300 TL,Hayır,"Güney, Doğu",16.000 TL,,,,Evet,Ankara,Sincan,2.265.000 TL
