İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
2545-8097,25-10-2024,Daire,4 + 1,180 m2 / 170 m2,1. Kat,1 Yaşında,Kombi,9 Katlı,Uygun,,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Pursaklar,4.500.000 TL
63021-7709,25-10-2024,Daire,3 + 1,185 m2 / 170 m2,7. Kat,4 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,50.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,8.950.000 TL
140913-244,27-10-2024,Daire,3 + 1,130 m2 / 120 m2,5. Kat,11 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,,Evet,"Güney, Batı",,,,,,Ankara,Yenimahalle,3.450.000 TL
140913-262,25-10-2024,Daire,3 + 1,145 m2 / 135 m2,Ara Kat,21 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Güney, Doğu, Batı",30.000 TL,Doğalgaz,4,8,Evet,Ankara,Altındağ,2.900.000 TL
140913-253,25-10-2024,Daire,3 + 1,120 m2 / 105 m2,Kot 1,21 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu",,,,,,Ankara,Keçiören,2.590.000 TL
140913-249,25-10-2024,Daire,2 + 1,145 m2 / 130 m2,12. Kat,4 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,,,,Ankara,Keçiören,4.985.000 TL
139274-58,04-10-2024,Villa,5 + 1,350 m2 / 320 m2,,Sıfır Bina,Yerden Isıtma,2 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Gölbaşı,25.000.000 TL
139274-66,12-10-2024,Daire,3 + 1,100 m2 / 90 m2,Yüksek Giriş,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Mamak,1.750.000 TL
143869-150,09-10-2024,Daire,3 + 1,110 m2 / 100 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,Doğu,16.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,1.690.000 TL
6171-6765,23-10-2024,Daire,2 + 1,80 m2 / 70 m2,Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",17.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.500.000 TL
144249-177,22-10-2024,Daire,3 + 1,280 m2 / 220 m2,2. Kat,26 Yaşında,Kombi,2 Katlı,Uygun değil,Eşyalı Değil,2,,,Mülk Sahibi,Kat İrtifakı,,Hayır,"Güney, Doğu, Batı",,,,,,Ankara,Çankaya,5.750.000 TL
148114-179,25-10-2024,Daire,3 + 1,135 m2 / 125 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Sincan,2.949.000 TL
2490-1088,26-10-2024,Villa,8 + 4,600 m2 / 510 m2,,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,6,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",150.000 TL,Doğalgaz,114023,3,Evet,Ankara,Gölbaşı,32.000.000 TL
61156-5919,08-10-2024,Daire,4 + 1,200 m2 / 175 m2,6. Kat,Sıfır Bina,Yerden Isıtma,29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,1.000 TL,Hayır,"Güney, Doğu, Batı",45.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,6.100.000 TL
16761-32345,29-10-2024,Daire,2 + 1,110 m2 / 100 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,500 TL,Hayır,"Güney, Batı",32.500 TL,Doğalgaz,,,Evet,Ankara,Çankaya,6.000.000 TL
